"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3626","Good to see #Technology being looked at as a part of the #RoyalCommission on Australia's #AgedCare industry.  https://t.co/Iho3X41lLC",FALSE,0,NA,2019-01-31 00:45:06,FALSE,NA,"1090772929154035712",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MedtechAU",0,FALSE,FALSE,NA,NA
"3627","RT @GeoffShannon: #Breaking #News #RoyalCommission #Commbank #CBA #Bankwest #MattComyn Bankwest customers run for the exits. The word is 1,…",FALSE,0,NA,2019-01-31 00:35:01,FALSE,NA,"1090770389641220096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GeoffShannon",13,TRUE,FALSE,NA,NA
"3628","In the wake of the #royalcommission #bankingrc, I noted with interest when applying for a credit card from a major… https://t.co/KTOujMOXG7",FALSE,1,NA,2019-01-31 00:26:05,TRUE,NA,"1090768141842472961",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maththrills",0,FALSE,FALSE,NA,NA
"3629","Public submissions to the #RoyalCommission into #AgedCare are now open https://t.co/Z0Ixa0fMg7",FALSE,0,NA,2019-01-30 23:39:27,FALSE,NA,"1090756405601030144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SilverRainbowAU",0,FALSE,FALSE,NA,NA
"3630","RT @GeoffShannon: #Breaking #News #RoyalCommission #Commbank #CBA #Bankwest #MattComyn Bankwest customers run for the exits. The word is 1,…",FALSE,0,NA,2019-01-30 23:25:48,FALSE,NA,"1090752972340944896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","leevladf",13,TRUE,FALSE,NA,NA
"3631","ASX 200 opening up around 20 pts to 5906 with iron ore miners in focus. US markets up strongly after Fed backs off… https://t.co/gDCCqcltf4",FALSE,0,NA,2019-01-30 23:18:17,TRUE,NA,"1090751080093298688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Marcus_Today",0,FALSE,FALSE,NA,NA
"3632","Thanks Hadley for sharing your experience with Rheuben &amp; Associates.
#brokersworkforyou #keepcompetitionalive… https://t.co/WbUjbSulON",FALSE,0,NA,2019-01-30 23:13:05,TRUE,NA,"1090749771139158018",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","GrantRheuben",0,FALSE,FALSE,NA,NA
"3633","@HumanHeadline The Victorian police union need to be shut down for investigation. Now. #changethenation… https://t.co/CXnFs7JO7u",FALSE,1,"HumanHeadline",2019-01-30 23:11:16,TRUE,"1090748092301766656","1090749315050434560","180258856","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","3dOLLabILL",0,FALSE,FALSE,NA,NA
"3634","RT @GeoffShannon: #Breaking #News #RoyalCommission #Commbank #CBA #Bankwest #MattComyn Bankwest customers run for the exits. The word is 1,…",FALSE,0,NA,2019-01-30 23:09:28,FALSE,NA,"1090748862027882497",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ici_cam",13,TRUE,FALSE,NA,NA
"3635","RT @GeoffShannon: #Breaking #News #RoyalCommission #Commbank #CBA #Bankwest #MattComyn Bankwest customers run for the exits. The word is 1,…",FALSE,0,NA,2019-01-30 23:01:14,FALSE,NA,"1090746790771474432",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LostMillions",13,TRUE,FALSE,NA,NA
"3636","Partner Adrian Verdnik shares his thoughts on the upcoming report from the Hayne banking Royal Commission.… https://t.co/EKBfG0gaJH",FALSE,0,NA,2019-01-30 22:29:46,TRUE,NA,"1090738871548076032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HWCorpCom",0,FALSE,FALSE,NA,NA
"3637","RT @OntheLineAus: See On the Line’s public submission for the #RoyalCommission into #MentalHealth. We outline just some of the areas that w…",FALSE,0,NA,2019-01-30 22:26:20,FALSE,NA,"1090738008511279106",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SuicideLine",3,TRUE,FALSE,NA,NA
"3638","RT @OntheLineAus: See On the Line’s public submission for the #RoyalCommission into #MentalHealth. We outline just some of the areas that w…",FALSE,0,NA,2019-01-30 22:26:00,FALSE,NA,"1090737924348334081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SuicideCallBack",3,TRUE,FALSE,NA,NA
"3639","RT @OntheLineAus: See On the Line’s public submission for the #RoyalCommission into #MentalHealth. We outline just some of the areas that w…",FALSE,0,NA,2019-01-30 22:25:09,FALSE,NA,"1090737708480122880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rebeccaevenden1",3,TRUE,FALSE,NA,NA
"3640","See On the Line’s public submission for the #RoyalCommission into #MentalHealth. We outline just some of the areas… https://t.co/r2QuqjW0yh",FALSE,3,NA,2019-01-30 22:22:02,TRUE,NA,"1090736925491621888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OntheLineAus",3,FALSE,FALSE,NA,NA
"3641","RT @MollyGrace1: It is criminal to allow a River to die and its people to suffer but that is what the Australian governments have done. We…",FALSE,0,NA,2019-01-30 20:24:16,FALSE,NA,"1090707287231029249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GroverCrasty",70,TRUE,FALSE,NA,NA
"3642","RT @GeoffShannon: #Breaking #News #RoyalCommission #Commbank #CBA #Bankwest #MattComyn Bankwest customers run for the exits. The word is 1,…",FALSE,0,NA,2019-01-30 19:24:10,FALSE,NA,"1090692164244332544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FOLLOW_DA_BUCKS",13,TRUE,FALSE,NA,NA
"3643","RT @GeoffShannon: #Breaking #News #RoyalCommission #Commbank #CBA #Bankwest #MattComyn Bankwest customers run for the exits. The word is 1,…",FALSE,0,NA,2019-01-30 19:21:56,FALSE,NA,"1090691602291388416",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ValerieLynneCl2",13,TRUE,FALSE,NA,NA
"3644","WOW

#QldICACnow #RoyalCommission https://t.co/YIJAszKzFU",FALSE,0,NA,2019-01-30 12:59:58,FALSE,NA,"1090595475059806208",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","JanneanDean",0,FALSE,FALSE,NA,NA
"3645","RT @CLAN_AU: Justice Jennifer Coates <U+0001F44F>received an award in #AustraliaDayHonours
 So deserved 4 her caring commitment &amp; compassion on #Royal…",FALSE,0,NA,2019-01-30 12:52:50,FALSE,NA,"1090593679788564482",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AlanWal84590655",50,TRUE,FALSE,NA,NA
"3646","@suz_brook I've actually been thinking that there should be a #RoyalCommission into ""reality TV"". I guarantee there… https://t.co/9nlXulbIps",FALSE,1,"suz_brook",2019-01-30 12:10:50,TRUE,"1090580310457085958","1090583109521657856","3936254592","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PalZer0",0,FALSE,FALSE,NA,NA
"3647","RT @GeoffShannon: #Breaking #News #RoyalCommission #Commbank #CBA #Bankwest #MattComyn Bankwest customers run for the exits. The word is 1,…",FALSE,0,NA,2019-01-30 11:54:12,FALSE,NA,"1090578927670550529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bigducknfish",13,TRUE,FALSE,NA,NA
"3648","Had a near miss with a rogue BBQ shape tonight. A deformed, flaky, floury, unseasoned, unholy mess. Looks like the… https://t.co/1UTvOAkeX7",FALSE,4,NA,2019-01-30 11:49:14,TRUE,NA,"1090577674727124992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","howmanycharact",0,FALSE,FALSE,NA,NA
"3649","RT @GeoffShannon: #Breaking #News #RoyalCommission #Commbank #CBA #Bankwest #MattComyn Bankwest customers run for the exits. The word is 1,…",FALSE,0,NA,2019-01-30 11:45:46,FALSE,NA,"1090576803024973825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Edgemonsta",13,TRUE,FALSE,NA,NA
"3650","RT @GeoffShannon: #Breaking #News #RoyalCommission #Commbank #CBA #Bankwest #MattComyn Bankwest customers run for the exits. The word is 1,…",FALSE,0,NA,2019-01-30 11:29:11,FALSE,NA,"1090572629549842433",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mangotree_books",13,TRUE,FALSE,NA,NA
